,Visitor/Neutral
0,Philadelphia 76ers
1,Oklahoma City Thunder
2,Milwaukee Bucks
3,Brooklyn Nets
4,Memphis Grizzlies
5,Miami Heat
6,Atlanta Hawks
7,Cleveland Cavaliers
8,New Orleans Pelicans
9,Minnesota Timberwolves
10,Utah Jazz
11,Denver Nuggets
12,Dallas Mavericks
13,Chicago Bulls
15,Los Angeles Lakers
16,Charlotte Hornets
17,New York Knicks
20,Sacramento Kings
21,Boston Celtics
22,Indiana Pacers
24,Golden State Warriors
26,Toronto Raptors
28,Orlando Magic
29,Detroit Pistons
32,Phoenix Suns
33,San Antonio Spurs
34,Houston Rockets
45,Washington Wizards
49,Los Angeles Clippers
63,Portland Trail Blazers
